Cust_ID,Target, Age ,Gender, Balance ,Occupation,No_OF_CR_TXNS,AGE_BKT
C2638,0,52,M,10239.85,,16,>50
C2639,0,26,M,289679,SELF-EMP,10,26-30
C2640,0,37,M,483355.59,,7,36-40
C2641,0,48,M,73831.69,,1,46-50
C2642,0,54,M,392899.63,SAL,15,>50
C2643,0,50,M,53655.52,PROF,12,46-50
C2644,0,51,M,188502.35,,14,>50
C2645,0,48,M,106025.8,PROF,8,46-50
C2646,0,34,M,233236.24,SELF-EMP,4,31-35
C2647,0,28,M,9768.5,SELF-EMP,0,26-30
C2648,0,32,M,95762.66,PROF,14,31-35
C2649,0,45,M,106601.47,,0,41-45
C2650,0,48,M,12614.17,SELF-EMP,8,46-50
C2651,0,50,M,41218.72,,2,46-50
C2652,0,32,M,539289.57,,18,31-35
C2653,0,23,M,426885.28,SAL,13,<25
C2654,0,32,M,58514.52,SELF-EMP,3,31-35
C2655,0,32,M,383203.78,SELF-EMP,7,31-35
C2656,0,44,M,68280.59,,16,41-45
C2657,0,51,M,24478.07,SELF-EMP,0,>50
C2658,0,40,M,344854.47,,20,36-40
C2659,0,33,M,378051.23,SELF-EMP,8,31-35
C2660,0,33,M,41938.05,,2,31-35
C2661,0,27,M,60053.01,,17,26-30
C2662,0,35,M,77706.35,SAL,5,31-35
C2663,0,30,M,44709.5,,9,26-30
C2664,0,30,M,86300.77,PROF,5,26-30
C2665,0,39,M,59259.41,,2,36-40
C2666,0,41,M,5787.57,,11,41-45
C2667,0,47,M,95393.21,,18,46-50
C2668,0,38,M,68278.68,,11,36-40
C2669,0,45,M,107456.95,,10,41-45
C2670,0,37,M,70858.23,PROF,17,36-40
C2671,0,43,M,88452.66,PROF,6,41-45
C2672,0,49,M,9259.58,PROF,3,46-50
C2673,0,46,M,44357.71,PROF,7,46-50
C2674,0,44,M,34335.6,PROF,4,41-45
C2675,0,51,M,9798.64,PROF,14,>50
C2676,0,33,M,14735.95,,11,31-35
C2677,0,31,M,43383.52,,4,31-35
C2678,0,32,M,6936.27,,7,31-35
C2679,0,36,M,7194.72,PROF,16,36-40
C2680,0,37,M,8823.04,PROF,13,36-40
C2681,0,29,M,16917.55,SELF-EMP,14,26-30
C2682,0,53,M,33500.43,SAL,4,>50
C2683,0,30,M,65515.81,,17,26-30
C2684,0,43,M,143898.37,PROF,15,41-45
C2685,0,33,M,15223.54,,7,31-35
C2686,0,36,M,219925.07,SELF-EMP,9,36-40
C2687,0,21,M,78965.16,,14,<25
C2688,0,46,M,418211.86,PROF,12,46-50
C2689,0,50,M,47973.4,PROF,1,46-50
C2690,0,45,M,50244.52,,5,41-45
C2691,0,26,M,29579.97,PROF,9,26-30
C2692,0,37,M,28735.73,,1,36-40
C2693,0,37,M,347511.64,SELF-EMP,8,36-40
C2694,0,48,M,213218.24,SELF-EMP,16,46-50
C2695,0,53,M,344874.41,PROF,9,>50
C2696,0,53,M,229119.5,,3,>50
C2697,0,46,M,45670.37,,10,46-50
C2698,0,46,M,2862.28,,10,46-50
C2699,0,52,M,8672.03,PROF,4,>50
C2700,0,53,M,364340.22,,10,>50
C2701,0,26,M,355683.33,,10,26-30
C2702,0,37,M,348605.97,,10,36-40
C2703,0,32,M,672674.93,,2,31-35
C2704,0,37,M,153986.12,PROF,4,36-40
C2705,0,26,M,340645.72,PROF,7,26-30
C2706,0,51,M,10933.68,,2,>50
C2707,0,40,M,79749.48,,5,36-40
C2708,0,51,M,15643.21,PROF,9,>50
C2709,0,27,M,67615.78,,17,26-30
C2710,0,37,M,33694.83,,17,36-40
C2711,0,28,M,48459.82,,20,26-30
C2712,0,25,M,75344.9,PROF,17,<25
C2713,0,34,M,112189.61,,11,31-35
C2714,0,31,M,70316.44,PROF,14,31-35
C2715,0,28,M,77010.84,,5,26-30
C2716,0,54,M,114865.65,,12,>50
C2717,0,35,M,16840.98,,14,31-35
C2718,0,34,M,91840.07,SELF-EMP,2,31-35
C2719,0,28,M,45461.83,,4,26-30
C2720,0,36,M,385720.78,PROF,17,36-40
C2721,0,33,M,86347.61,PROF,10,31-35
C2722,0,23,M,151471.87,SELF-EMP,8,<25
C2723,0,24,M,358612.87,SAL,0,<25
C2724,0,40,M,411914.93,PROF,15,36-40
C2725,0,35,M,51448.97,PROF,1,31-35
C2726,0,47,M,778541.48,,13,46-50
C2727,0,26,M,10211.92,SAL,15,26-30
C2728,0,55,M,21768.58,,14,>50
C2729,0,31,M,105492.62,,13,31-35
C2730,0,39,M,28198.09,PROF,3,36-40
C2731,0,27,M,5222.12,,7,26-30
C2732,0,52,M,337177.01,,18,>50
C2733,0,49,M,68549.58,,20,46-50
C2734,0,52,M,185404.34,SELF-EMP,19,>50
C2735,0,34,M,75911.86,,1,31-35
C2736,0,29,M,91371.81,,8,26-30
C2737,0,30,M,468948.87,,12,26-30
C2738,0,33,M,92666.12,PROF,11,31-35
C2739,0,46,M,17102.85,PROF,12,46-50
C2740,0,34,M,133403.42,,14,31-35
C2741,0,25,M,107018.02,SAL,8,<25
C2742,0,36,M,10922.46,PROF,1,36-40
C2743,0,34,M,63598.5,,18,31-35
C2744,0,29,M,70699.74,SELF-EMP,13,26-30
C2745,0,29,M,295042.66,SELF-EMP,11,26-30
C2746,0,36,M,641714.56,,16,36-40
C2747,0,39,M,282361.71,,5,36-40
C2748,0,44,M,42496.59,SELF-EMP,11,41-45
C2749,0,46,M,19592.1,SELF-EMP,13,46-50
C2750,0,39,M,140794.15,,2,36-40
C2751,0,55,M,42003.71,,14,>50
C2752,0,29,M,38553.4,PROF,5,26-30
C2753,0,29,M,291293.08,,3,26-30
C2754,0,30,M,18266.51,SELF-EMP,14,26-30
C2755,0,32,M,527154.55,SELF-EMP,13,31-35
C2756,0,54,M,414904.43,SELF-EMP,6,>50
C2757,0,28,M,365823.81,SAL,17,26-30
C2758,0,39,M,221275.02,,9,36-40
C2759,0,36,M,103861.85,SELF-EMP,19,36-40
C2760,0,26,M,78788.75,,7,26-30
C2761,0,31,M,256792.85,SELF-EMP,6,31-35
C2762,0,31,M,62344.6,,18,31-35
C2763,0,24,M,225963.23,,17,<25
C2764,0,24,M,692449.63,,7,<25
C2765,0,29,M,107394.01,SELF-EMP,13,26-30
C2766,0,26,M,122628.75,PROF,11,26-30
C2767,0,24,M,296841.01,,8,<25
C2768,0,24,M,54051.75,,20,<25
C2769,0,48,M,78453.12,,3,46-50
C2770,0,34,M,19172.29,SELF-EMP,18,31-35
C2771,0,41,M,297399.37,,10,41-45
C2772,0,50,M,108171.03,SAL,13,46-50
C2773,0,54,M,77820.92,,5,>50
C2774,0,50,M,372015.34,,12,46-50
C2775,0,41,M,777103.35,,1,41-45
C2776,0,43,M,147488.79,,4,41-45
C2777,0,44,M,11240.66,,0,41-45
C2778,0,55,M,161442.04,PROF,13,>50
C2779,0,53,M,246600.93,,13,>50
C2780,0,55,M,68507.02,PROF,18,>50
C2781,0,53,M,92863.6,PROF,20,>50
C2782,0,48,M,111547.1,,17,46-50
C2783,0,51,M,390695.11,,10,>50
C2784,0,37,M,340889.07,,0,36-40
C2785,0,47,M,267573.69,SELF-EMP,12,46-50
C2786,0,51,M,348272.94,,1,>50
C2787,0,49,M,714876.8,PROF,7,46-50
C2788,0,49,M,221168.46,SELF-EMP,12,46-50
C2789,0,29,M,270497.67,,3,26-30
C2790,0,52,M,356371.56,,16,>50
C2791,0,34,M,36483.72,,18,31-35
C2792,0,54,M,103139.15,,11,>50
C2793,0,45,M,172284.71,SAL,18,41-45
C2794,0,50,M,403543.4,SAL,19,46-50
C2795,0,51,M,36072.03,SAL,8,>50
C2796,0,47,M,40526.1,SAL,5,46-50
C2797,0,55,M,23683.66,SELF-EMP,5,>50
C2798,0,32,M,16214.7,,17,31-35
C2799,0,45,M,75834.94,,20,41-45
C2800,0,45,M,292615.89,,20,41-45
C2801,0,40,M,39616.83,,4,36-40
C2802,0,27,M,60561.28,SELF-EMP,10,26-30
C2803,0,48,M,5827.04,,7,46-50
C2804,0,50,M,100683.64,,7,46-50
C2805,0,48,M,21594.11,,7,46-50
C2806,0,44,M,80791.65,SELF-EMP,10,41-45
C2807,0,52,M,317604.8,PROF,2,>50
C2808,0,45,M,136963.16,SELF-EMP,17,41-45
C2809,0,30,M,196582.03,SELF-EMP,15,26-30
C2810,0,29,M,31253.88,,12,26-30
C2811,0,29,M,292974.28,,6,26-30
C2812,0,49,M,76255.28,,11,46-50
C2813,0,29,M,47201.39,,12,26-30
C2814,0,52,M,171527.88,,0,>50
C2815,0,51,M,161962.19,PROF,6,>50
C2816,0,36,M,113998.03,,16,36-40
C2817,0,48,M,78353.68,,6,46-50
C2818,0,46,M,43357.31,SELF-EMP,7,46-50
C2819,0,49,M,22901.17,PROF,15,46-50
C2820,0,55,M,80917.65,SELF-EMP,15,>50
C2821,0,39,M,503987.29,SELF-EMP,17,36-40
C2822,0,50,M,352246.34,SELF-EMP,17,46-50
C2823,0,32,M,228684.44,SELF-EMP,16,31-35
C2824,0,32,M,354170.35,PROF,12,31-35
C2825,0,26,M,16449.74,PROF,15,26-30
C2826,0,24,M,297383.34,PROF,6,<25
C2827,0,32,M,66800.56,PROF,17,31-35
C2828,0,29,M,4735.1,SELF-EMP,13,26-30
C2829,0,43,M,11973.46,SELF-EMP,12,41-45
C2830,0,29,M,90842.03,SELF-EMP,3,26-30
C2831,0,29,M,28021.95,SELF-EMP,11,26-30
C2832,0,52,M,48393.62,SELF-EMP,17,>50
C2833,0,54,M,6781.2,SELF-EMP,8,>50
C2834,0,36,M,32875.29,SELF-EMP,20,36-40
C2835,0,31,M,369230.6,SENP,8,31-35
C2836,0,46,M,238921.45,SENP,8,46-50
C2837,0,25,M,90510.34,SENP,1,<25
C2838,0,41,M,121377.33,SENP,5,41-45
C2839,0,38,M,231131.39,SENP,20,36-40
C2840,0,41,M,170273.65,SENP,12,41-45
C2841,0,38,M,386000,,9,36-40
C2842,0,53,M,50509.87,,17,>50
C2843,0,55,M,175833.51,,20,>50
C2844,0,48,M,159123.95,,7,46-50
C2845,0,39,M,487139.74,PROF,8,36-40
C2846,0,27,M,30079.56,PROF,9,26-30
C2847,0,53,M,5179.29,PROF,2,>50
C2848,0,38,M,268162.35,PROF,17,36-40
C2849,0,28,M,141103.68,SENP,7,26-30
C2850,0,42,M,139610.31,SENP,14,41-45
C2851,0,30,M,18388.76,SENP,14,26-30
C2852,0,42,M,193924.89,SENP,18,41-45
C2853,0,32,M,394828.87,SENP,20,31-35
C2854,0,25,M,66925.41,SENP,12,<25
C2855,0,33,M,34427.41,SENP,7,31-35
C2856,0,46,M,34601.99,PROF,1,46-50
C2857,0,34,M,382616.3,PROF,5,31-35
C2858,0,34,M,80483.34,PROF,7,31-35
C2859,0,35,M,100979.42,PROF,0,31-35
C2860,0,35,M,46244.64,SENP,18,31-35
C2861,0,37,M,49485.17,SENP,7,36-40
C2862,0,21,M,295484.7,SENP,6,<25
C2863,0,33,M,1579.44,SENP,12,31-35
C2864,0,35,M,123609.56,SENP,13,31-35
C2865,0,29,M,102725.49,,10,26-30
C2866,0,34,M,150096.58,,2,31-35
C2867,0,35,M,13830.63,,3,31-35
C2868,0,34,M,140089.82,SENP,17,31-35
C2869,0,50,M,61749.23,PROF,12,46-50
C2870,0,37,M,39941.78,PROF,16,36-40
C2871,0,36,M,284048.34,,0,36-40
C2872,0,30,M,62407.77,,14,26-30
C2873,0,28,M,271285.34,,0,26-30
C2874,0,26,M,21760.37,,16,26-30
C2875,0,54,M,527762.32,SENP,3,>50
C2876,0,50,M,16476.87,,10,46-50
C2877,0,53,M,13875.47,,11,>50
C2878,0,53,M,433397.54,,6,>50
C2879,0,50,M,240030.37,SENP,2,46-50
C2880,0,39,M,18603.8,PROF,12,36-40
C2881,0,47,M,68269.61,,3,46-50
C2882,0,32,M,130288.58,SENP,16,31-35
C2883,0,45,M,392024.71,,14,41-45
C2884,0,37,M,15361.75,PROF,13,36-40
C2885,0,28,M,156750.39,SAL,12,26-30
C2886,0,45,M,377902.92,PROF,17,41-45
C2887,0,30,M,208081.63,,12,26-30
C2888,0,47,M,397273.6,,10,46-50
C2889,0,52,M,402671.72,,0,>50
C2890,0,52,M,352941.27,PROF,8,>50
C2891,0,54,M,107295.81,,12,>50
C2892,0,33,M,255464.88,,14,31-35
C2893,0,33,M,29593.89,,20,31-35
C2894,0,32,M,57086.39,SENP,17,31-35
C2895,0,26,M,24552.99,PROF,2,26-30
C2896,0,31,M,394023.11,,11,31-35
C2897,0,30,M,352741.77,PROF,14,26-30
C2898,0,53,M,168379.75,PROF,7,>50
C2899,0,53,M,214966.69,,11,>50
C2900,0,55,M,160150.63,,4,>50
C2901,0,44,M,73091.54,,17,41-45
C2902,0,47,M,13057.33,,19,46-50
C2903,0,30,M,37156.55,PROF,7,26-30
C2904,0,26,M,324851.98,,12,26-30
C2905,0,33,M,128120.83,,2,31-35
C2906,0,25,M,48098.75,,9,<25
C2907,0,47,M,64330.68,SENP,15,46-50
C2908,0,54,M,29174.74,SENP,17,>50
C2909,0,41,M,135365.63,PROF,16,41-45
C2910,0,44,M,39294.4,PROF,4,41-45
C2911,0,33,M,224701.09,,6,31-35
C2912,0,31,M,259791.38,SAL,8,31-35
C2913,0,31,M,397384.76,,0,31-35
C2914,0,30,M,859912.34,PROF,16,26-30
C2915,0,36,M,188768.12,SENP,5,36-40
C2916,0,36,M,44733.37,SAL,13,36-40
C2917,0,31,M,886813.63,SENP,0,31-35
C2918,0,36,M,527391.9,SENP,16,36-40
C2919,0,26,M,64219.58,,15,26-30
C2920,0,46,M,533836.87,,0,46-50
C2921,0,40,M,15132.13,,12,36-40
C2922,0,53,M,57939.06,PROF,4,>50
C2923,0,48,M,169941.3,,20,46-50
C2924,0,30,M,69669.49,SENP,9,26-30
C2925,0,27,M,94857.86,PROF,12,26-30
C2926,0,53,M,139016.51,PROF,4,>50
C2927,0,50,M,305754.87,PROF,14,46-50
C2928,0,51,M,230105.52,,8,>50
C2929,0,24,M,248020.89,,4,<25
C2930,0,24,M,142671.78,PROF,7,<25
C2931,0,32,M,44711.79,SENP,18,31-35
C2932,0,41,M,194587.12,SENP,20,41-45
C2933,0,34,M,28763.66,SENP,4,31-35
C2934,0,34,M,7684.67,SENP,15,31-35
C2935,0,26,M,67291.63,,6,26-30
C2936,0,32,M,1700.31,PROF,17,31-35
C2937,0,55,M,125896.65,PROF,1,>50
C2938,0,50,M,69076.18,PROF,5,46-50
C2939,0,31,M,22013.52,,6,31-35
C2940,0,36,M,13969.04,PROF,15,36-40
C2941,0,42,M,25318.19,,14,41-45
C2942,0,47,M,13057.13,,11,46-50
C2943,0,54,M,20181.96,,1,>50
C2944,0,26,M,33707.24,PROF,14,26-30
C2945,0,41,M,78989.77,PROF,9,41-45
C2946,0,47,M,82928.74,PROF,2,46-50
C2947,0,55,M,189294.93,SENP,19,>50
C2948,0,53,M,382663.69,PROF,13,>50
C2949,0,51,M,2931.48,,13,>50
C2950,0,25,M,86636.55,SENP,5,<25
C2951,0,41,M,46558.4,,2,41-45
C2952,0,38,M,200580.6,,7,36-40
C2953,0,37,M,178143.85,,4,36-40
C2954,0,39,M,108036.23,SAL,10,36-40
C2955,0,27,M,48753.79,PROF,19,26-30
C2956,0,35,M,107796.4,PROF,20,31-35
C2957,0,29,M,6647.47,SAL,3,26-30
C2958,0,28,M,33233.72,,3,26-30
C2959,0,21,M,247009.44,PROF,3,<25
C2960,0,45,M,403324.49,,11,41-45
C2961,0,26,M,143842.98,,14,26-30
C2962,0,49,M,156406.03,,6,46-50
C2963,0,42,M,390221.38,,6,41-45
C2964,0,40,M,13667.32,SAL,4,36-40
C2965,0,40,M,53446.01,,13,36-40
C2966,0,30,M,31131.81,,18,26-30
C2967,0,30,M,58985.51,SAL,4,26-30
C2968,0,34,M,125774.28,PROF,19,31-35
C2969,0,27,M,304845.03,,9,26-30
C2970,0,53,M,80468.52,,4,>50
C2971,0,31,M,43063.62,PROF,17,31-35
C2972,0,35,M,90583.22,PROF,0,31-35
C2973,0,53,M,20296.34,PROF,19,>50
C2974,0,28,M,308558.83,PROF,2,26-30
C2975,0,37,M,19120.15,PROF,16,36-40
C2976,0,27,M,164986.84,,14,26-30
C2977,0,32,M,5190.67,,9,31-35
C2978,0,32,M,894784.26,PROF,11,31-35
C2979,0,27,M,197487.36,PROF,14,26-30
C2980,0,27,M,177519.81,PROF,6,26-30
C2981,0,48,M,353149.12,SAL,13,46-50
C2982,0,43,M,591.02,PROF,10,41-45
C2983,0,37,M,24999.32,PROF,14,36-40
C2984,0,51,M,105217.46,,14,>50
C2985,0,26,M,137518.55,,14,26-30
C2986,0,25,M,17603.88,,7,<25
C2987,0,40,M,537317.11,PROF,18,36-40
C2988,0,27,M,197227.69,,18,26-30
C2989,0,51,M,92853.45,,10,>50
C2990,0,36,M,67424.85,,4,36-40
C2991,0,34,M,13317.84,PROF,2,31-35
C2992,0,36,M,541767.19,SAL,2,36-40
C2993,0,45,M,79218.36,PROF,14,41-45
C2994,0,51,M,300249.22,SAL,13,>50
C2995,0,29,M,42423.86,PROF,5,26-30
C2996,0,35,M,2290.77,PROF,3,31-35
C2997,0,53,M,60176.7,,15,>50
C2998,0,46,M,232561.44,PROF,2,46-50
C2999,0,50,M,66561.47,PROF,2,46-50
C3000,0,32,M,36522.28,PROF,15,31-35
C3001,0,28,M,137092.47,PROF,12,26-30
C3002,0,21,M,410694.9,PROF,7,<25
C3003,0,37,M,265704.64,PROF,19,36-40
C3004,0,45,M,403584.07,PROF,14,41-45
C3005,0,45,M,19302.77,,1,41-45
C3006,0,50,M,289664.74,,8,46-50
C3007,0,55,M,406060.96,,4,>50
C3008,0,37,M,62868.52,PROF,14,36-40
C3009,0,31,M,60016.85,PROF,6,31-35
C3010,0,26,M,30552.76,,18,26-30
C3011,0,30,M,56264.18,,3,26-30
C3012,0,43,M,674957.65,PROF,2,41-45
C3013,0,33,M,315829.27,PROF,3,31-35
C3014,0,33,M,49077.98,PROF,10,31-35
C3015,0,30,M,188939.81,,15,26-30
C3016,0,50,M,34564.29,SELF-EMP,17,46-50
C3017,0,28,M,60041.74,SELF-EMP,12,26-30
C3018,0,44,M,109623.56,PROF,19,41-45
C3019,0,53,M,400379.9,PROF,11,>50
C3020,0,29,M,75650.97,,9,26-30
C3021,0,34,M,222588.32,PROF,14,31-35
C3022,0,31,M,16576.61,SELF-EMP,18,31-35
C3023,0,51,M,383474.22,PROF,9,>50
C3024,0,33,M,43750.27,SELF-EMP,18,31-35
C3025,0,28,M,49031.82,,3,26-30
C3026,0,24,M,29914.51,,15,<25
C3027,0,49,M,240155.22,PROF,0,46-50
C3028,0,41,M,37853.92,SAL,16,41-45
C3029,0,28,M,21791.97,SAL,1,26-30
C3030,0,43,M,19809.94,SELF-EMP,15,41-45
C3031,0,32,M,272908.08,,18,31-35
C3032,0,30,M,4659.71,,8,26-30
C3033,0,25,M,295815.51,PROF,16,<25
C3034,0,54,M,393827.61,PROF,0,>50
C3035,0,47,M,148790.35,PROF,1,46-50
C3036,0,29,M,228613.8,,14,26-30
C3037,0,25,M,47569.82,SAL,4,<25
C3038,0,30,M,231125.25,PROF,11,26-30
C3039,0,42,M,94103.15,PROF,15,41-45
C3040,0,44,M,188988.56,SELF-EMP,9,41-45
C3041,0,29,M,27602.33,PROF,6,26-30
C3042,0,34,M,400060.85,SAL,12,31-35
C3043,0,37,M,107787.16,PROF,17,36-40
C3044,0,43,M,401731.9,,9,41-45
C3045,0,35,M,173620.3,,20,31-35
C3046,0,48,M,122517.47,SELF-EMP,19,46-50
C3047,0,37,M,80335.4,PROF,3,36-40
C3048,0,39,M,54422.16,PROF,17,36-40
C3049,0,55,M,15005.65,PROF,19,>50
C3050,0,50,M,15022.6,PROF,12,46-50
C3051,0,49,M,15011.3,PROF,15,46-50
C3052,0,41,M,27595.98,,12,41-45
C3053,0,49,M,15016.95,SAL,19,46-50
C3054,0,54,M,13794.33,SAL,9,>50
C3055,0,38,M,15022.6,PROF,5,36-40
C3056,0,54,M,15022.6,PROF,8,>50
C3057,0,54,M,15022.6,PROF,2,>50
C3058,0,42,M,11269.72,PROF,11,41-45
C3059,0,53,M,385215.07,PROF,6,>50
C3060,0,48,M,56028.72,,14,46-50
C3061,0,33,M,55551.29,PROF,8,31-35
C3062,0,30,M,96180.53,,3,26-30
C3063,0,34,M,222283.55,,17,31-35
C3064,0,30,M,40639.47,,18,26-30
C3065,0,52,M,336863.01,PROF,9,>50
C3066,0,44,M,26915.33,SAL,1,41-45
C3067,0,27,M,31175.2,PROF,14,26-30
C3068,0,33,M,188941.21,PROF,9,31-35
C3069,0,27,M,283394.58,SELF-EMP,18,26-30
C3070,0,25,M,177150.65,,8,<25
C3071,0,25,M,59944.07,SELF-EMP,13,<25
C3072,0,33,M,247867.71,PROF,8,31-35
C3073,0,40,M,335926.19,SAL,9,36-40
C3074,0,25,M,42262.89,,3,<25
C3075,0,54,M,206865.54,PROF,5,>50
C3076,0,35,M,3337.35,,10,31-35
C3077,0,35,M,7411.57,,9,31-35
C3078,0,41,M,17781.01,PROF,19,41-45
C3079,0,46,M,23262.23,PROF,11,46-50
C3080,0,46,M,379090.25,,5,46-50
C3081,0,44,M,6524.28,,3,41-45
C3082,0,36,M,1335.15,,11,36-40
C3083,0,41,M,54653.31,,20,41-45
C3084,0,29,M,24352.1,,8,26-30
C3085,0,24,M,184153.87,SELF-EMP,0,<25
C3086,0,30,M,419869.75,SELF-EMP,20,26-30
C3087,0,30,M,49112.73,,8,26-30
C3088,0,47,M,32018.17,,6,46-50
C3089,0,27,M,97568.11,,4,26-30
C3090,0,27,M,90403.96,SAL,9,26-30
C3091,0,33,M,96898.46,PROF,6,31-35
C3092,0,53,M,164857.28,SAL,16,>50
C3093,0,31,M,13943.19,PROF,10,31-35
C3094,0,46,M,285413.33,PROF,2,46-50
C3095,0,47,M,137127.41,PROF,8,46-50
C3096,0,25,M,20598.15,PROF,9,<25
C3097,0,30,M,22706.34,PROF,8,26-30
C3098,0,41,M,365297.48,PROF,8,41-45
C3099,0,34,M,64273.3,PROF,19,31-35
C3100,0,37,M,190924.14,PROF,2,36-40
C3101,0,36,M,163304.4,SAL,17,36-40
C3102,0,31,M,91495.23,PROF,7,31-35
C3103,0,25,M,147725.39,SELF-EMP,8,<25
C3104,0,27,M,241637.32,,14,26-30
C3105,0,50,M,90780.2,PROF,9,46-50
C3106,0,29,M,21806.46,PROF,18,26-30
C3107,0,34,M,27860.09,PROF,14,31-35
C3108,0,42,M,6655.99,,3,41-45
C3109,0,36,M,136960.16,PROF,12,36-40
C3110,0,25,M,72916.96,SAL,10,<25
C3111,0,23,M,249552.8,SELF-EMP,5,<25
C3112,0,40,M,866862.83,SAL,16,36-40
C3113,0,40,M,229525.82,SAL,12,36-40
C3114,0,42,M,200530.1,PROF,5,41-45
C3115,0,42,M,406453.3,SAL,20,41-45
C3116,0,52,M,5949.12,PROF,17,>50
C3117,0,55,M,26831.73,,6,>50
C3118,0,55,M,243075.36,PROF,6,>50
C3119,0,52,M,379447.88,PROF,1,>50
C3120,0,28,M,5889.18,PROF,3,26-30
C3121,0,27,M,688977.57,,5,26-30
C3122,0,27,M,100430.12,,6,26-30
C3123,0,27,M,355423.53,PROF,18,26-30
C3124,0,51,M,315241.81,SAL,9,>50
C3125,0,39,M,0,PROF,17,36-40
C3126,0,46,M,122312.89,,20,46-50
C3127,0,35,M,46872.78,PROF,8,31-35
C3128,0,52,M,418891.46,PROF,14,>50
C3129,0,24,M,713774.76,PROF,5,<25
C3130,0,26,M,492692.33,,4,26-30
C3131,0,36,M,120890.91,,2,36-40
C3132,0,31,M,74588.14,,12,31-35
C3133,0,32,M,39463.31,,19,31-35
C3134,0,47,M,15441.09,SAL,6,46-50
C3135,0,22,M,50949.7,,11,<25
C3136,0,31,M,219065.93,,8,31-35
C3137,0,34,M,396095.78,,15,31-35
C3138,0,30,M,10997.04,PROF,9,26-30
C3139,0,32,M,181313.1,PROF,10,31-35
C3140,0,52,M,390255.81,SAL,10,>50
C3141,0,40,M,147634.73,,16,36-40
C3142,0,51,M,803234.92,PROF,6,>50
C3143,0,27,M,78259.85,,7,26-30
C3144,0,54,M,298909.08,PROF,19,>50
C3145,0,42,M,360306.78,,3,41-45
C3146,0,38,M,14112.26,PROF,8,36-40
C3147,0,42,M,50017.47,PROF,7,41-45
C3148,0,36,M,140068.95,SAL,5,36-40
C3149,0,35,M,0,SAL,7,31-35
C3150,0,34,M,351412.49,,20,31-35
C3151,0,32,M,33048.04,PROF,10,31-35
C3152,0,32,M,111439.41,PROF,13,31-35
C3153,0,32,M,297660.14,PROF,17,31-35
C3154,0,31,M,257933.66,,20,31-35
C3155,0,43,M,354231.72,PROF,12,41-45
C3156,0,24,M,380634.72,PROF,18,<25
C3157,0,25,M,241926.29,PROF,2,<25
C3158,0,26,M,100988.92,PROF,14,26-30
C3159,0,33,M,50425.22,,0,31-35
C3160,0,48,M,117088.17,PROF,3,46-50
C3161,0,33,M,195101.67,PROF,17,31-35
C3162,0,54,M,163694.56,PROF,9,>50
C3163,0,50,M,49678.27,SAL,14,46-50
C3164,0,36,M,1386.58,PROF,4,36-40
C3165,0,39,M,122776.74,,6,36-40
C3166,0,47,M,322206.03,,12,46-50
C3167,0,44,M,124640.98,,17,41-45
C3168,0,44,M,75023.4,SAL,11,41-45
C3169,0,46,M,31199.27,PROF,14,46-50
C3170,0,50,M,327068.4,,15,46-50
C3171,0,50,M,84306.82,SAL,3,46-50
C3172,0,29,M,39453.54,,14,26-30
C3173,0,29,M,201869.05,,10,26-30
C3174,0,48,M,193549.61,,0,46-50
C3175,0,48,M,5480.14,,18,46-50
C3176,0,55,M,367993.66,,2,>50
C3177,0,32,M,297496.9,,8,31-35
C3178,0,30,M,70552.34,,15,26-30
C3179,0,28,M,371091.15,,7,26-30
C3180,0,28,M,24250.56,,20,26-30
C3181,0,53,M,39645.96,,8,>50
C3182,0,53,M,401732.4,SAL,19,>50
C3183,0,48,M,364779.38,,18,46-50
C3184,0,32,M,228943.26,,7,31-35
C3185,0,29,M,364820.81,,8,26-30
C3186,0,26,M,10433.14,,4,26-30
C3187,0,33,M,57192.66,,18,31-35
C3188,0,39,M,18218.73,,9,36-40
C3189,0,30,M,18397.92,,6,26-30
C3190,0,30,M,74801.13,,14,26-30
C3191,0,36,M,164374.51,SELF-EMP,14,36-40
C3192,0,25,M,20395.98,,9,<25
C3193,0,43,M,89892.16,,5,41-45
C3194,0,50,M,28068.48,,14,46-50
C3195,0,49,M,12816.33,SELF-EMP,5,46-50
C3196,0,29,M,97832.74,,18,26-30
C3197,0,26,M,80231.75,,20,26-30
C3198,0,38,M,9317.72,,12,36-40
C3199,0,54,M,283605.06,,17,>50
C3200,0,46,M,291130.73,SELF-EMP,14,46-50
C3201,0,51,M,385473.4,SAL,12,>50
C3202,0,26,M,229234.95,,8,26-30
C3203,0,40,M,236122.71,,18,36-40
C3204,0,36,M,194268.1,SELF-EMP,4,36-40
C3205,0,21,M,250368.15,,15,<25
C3206,0,37,M,434060.43,PROF,11,36-40
C3207,0,48,M,417118.09,,17,46-50
C3208,0,47,M,134243.93,PROF,19,46-50
C3209,0,35,M,301274.14,,2,31-35
C3210,0,32,M,14908.71,SELF-EMP,20,31-35
C3211,0,47,M,119470.79,SELF-EMP,0,46-50
C3212,0,30,M,169870.46,,0,26-30
C3213,0,28,M,104464.6,,7,26-30
C3214,0,27,M,364643.14,,9,26-30
C3215,0,27,M,58558.35,,12,26-30
C3216,0,27,M,232729.5,SELF-EMP,11,26-30
C3217,0,28,M,410797.88,SELF-EMP,16,26-30
C3218,0,22,M,82133.52,,15,<25
C3219,0,31,M,292812.08,,19,31-35
