,Unnamed: 0,Unnamed: 0.1,author,publicationTime,bodyText,Clean_Data,Clean,Clean1
71,71,71,id:twitter.com:1270845572,2016-10-02,"#SCOTUS can strike down #Obama's #environmental regs, but it's too late. Those #coal power plants aren't coming back. #progress","#SCOTUS can strike down #Obama's #environmental regs, but it's too late. Those #coal power plants aren't coming back. #progress","can strike down 's regs, but it's too late. Those power plants aren't coming back.","can strike down  is regs, but it's too late. Those power plants aren't coming back."
72,72,72,id:twitter.com:248222707,2016-10-02,RT @AustralisTerry: Australia's landholders are up in arms everywhere over inappropriate mining #Auspol #shenhua #Adani #newhope https://t.?,RT @AustralisTerry: Australia's landholders are up in arms everywhere over inappropriate mining #Auspol #shenhua #Adani #newhope ,: Australia's landholders are up in arms everywhere over inappropriate mining, Australia's landholders are up in arms everywhere over inappropriate mining
73,73,73,id:twitter.com:54786969,2016-10-02,"RT @350Australia: Adani Group's Aust #coal mining troubles far from over. 
https://t.co/KO1rp5LlQs https://t.co/iKRHZphy7Q","RT @350Australia: Adani Group's Aust #coal mining troubles far from over. 
 ",: Adani Group's Aust mining troubles far from over., Adani Group's Aust mining troubles far from over.
74,74,74,id:twitter.com:3186440924,2016-10-02,"RT @adropex: ?It is my duty to do whatever I can to protect Australia for future generation"" #ClimateAngels #csg #Pilliga #auspol https://t?","RT @adropex: ?It is my duty to do whatever I can to protect Australia for future generation"" #ClimateAngels #csg #Pilliga #auspol ",": ?It is my duty to do whatever I can to protect Australia for future generation"""," ?It is my duty to do whatever I can to protect Australia for future generation"""
75,75,75,id:twitter.com:2897999540,2016-10-02,"Oil sheik gives @greghunt Best Minister in World award?
https://t.co/rkvAZFC9Gl #auspol #csg #coal #shenhua #adani","Oil sheik gives @greghunt Best Minister in World award?
 #auspol #csg #coal #shenhua #adani",Oil sheik gives Best Minister in World award?,Oil sheik gives Best Minister in World award?
76,76,76,id:twitter.com:21818907,2016-10-02,"RT @AustralisTerry: Oil sheik gives @greghunt Best Minister in World award?
https://t.co/rkvAZFC9Gl #auspol #csg #coal #shenhua #adani","RT @AustralisTerry: Oil sheik gives @greghunt Best Minister in World award?
 #auspol #csg #coal #shenhua #adani",: Oil sheik gives Best Minister in World award?, Oil sheik gives Best Minister in World award?
77,77,77,id:twitter.com:2584644984,2016-10-02,Counter-Strike Global Offensive Case Opening in Super Mario Land. #csgo #supermarioland @NintendoAmerica #csgoknife https://t.co/KSKH9LANDi,Counter-Strike Global Offensive Case Opening in Super Mario Land. #csgo #supermarioland @NintendoAmerica #csgoknife ,Counter-Strike Global Offensive Case Opening in Super Mario Land.,Counter-Strike Global Offensive Case Opening in Super Mario Land.
78,78,78,id:twitter.com:341330045,2016-10-02,@GuardianAus he cannot be serious What sort of delusional fool is he? lol #meritaward #coal #GreatBarrierReef #CSG #lockthegate #PilligaPush,@GuardianAus he cannot be serious What sort of delusional fool is he? lol #meritaward #coal #GreatBarrierReef #CSG #lockthegate #PilligaPush,he cannot be serious What sort of delusional fool is he? lol,he cannot be serious What sort of delusional fool is he? lol
79,79,79,id:twitter.com:996099864,2016-10-02,Have you booked your ticket to Fashion Friday yet? Don't miss out! #adelaide #fashion #coalcellargrill https://t.co/VCZhST4bbj,Have you booked your ticket to Fashion Friday yet? Don't miss out! #adelaide #fashion #coalcellargrill ,Have you booked your ticket to Fashion Friday yet? Don't miss out!,Have you booked your ticket to Fashion Friday yet? Don't miss out!
80,80,80,id:twitter.com:15523288,2016-10-02,"RT @AustralisTerry: Oil sheik gives @greghunt Best Minister in World award?
https://t.co/rkvAZFC9Gl #auspol #csg #coal #shenhua #adani","RT @AustralisTerry: Oil sheik gives @greghunt Best Minister in World award?
 #auspol #csg #coal #shenhua #adani",: Oil sheik gives Best Minister in World award?, Oil sheik gives Best Minister in World award?
81,81,81,id:twitter.com:1892979913,2016-10-02,"RT @adropex: ?It is my duty to do whatever I can to protect Australia for future generation"" #ClimateAngels #csg #Pilliga #auspol https://t?","RT @adropex: ?It is my duty to do whatever I can to protect Australia for future generation"" #ClimateAngels #csg #Pilliga #auspol ",": ?It is my duty to do whatever I can to protect Australia for future generation"""," ?It is my duty to do whatever I can to protect Australia for future generation"""
82,82,82,id:twitter.com:4099926287,2016-10-02,"RT @adropex: ?It is my duty to do whatever I can to protect Australia for future generation"" #ClimateAngels #csg #Pilliga #auspol https://t?","RT @adropex: ?It is my duty to do whatever I can to protect Australia for future generation"" #ClimateAngels #csg #Pilliga #auspol ",": ?It is my duty to do whatever I can to protect Australia for future generation"""," ?It is my duty to do whatever I can to protect Australia for future generation"""
83,83,83,id:twitter.com:2611093651,2016-10-02,"RT @adropex: ?It is my duty to do whatever I can to protect Australia for future generation"" #ClimateAngels #csg #Pilliga #auspol https://t?","RT @adropex: ?It is my duty to do whatever I can to protect Australia for future generation"" #ClimateAngels #csg #Pilliga #auspol ",": ?It is my duty to do whatever I can to protect Australia for future generation"""," ?It is my duty to do whatever I can to protect Australia for future generation"""
84,84,84,id:twitter.com:2725865306,2016-10-02,"@CycloneCharlie8 ....WOW! Investors need to wear a parachute to walk down that #fracking #csg ""failure-slope!"".

@APPEALtd #auspol #ASX","@CycloneCharlie8 ....WOW! Investors need to wear a parachute to walk down that #fracking #csg ""failure-slope!"".

@APPEALtd #auspol #ASX","....WOW! Investors need to wear a parachute to walk down that ""failure-slope!"".","....WOW! Investors need to wear a parachute to walk down that ""failure-slope!""."
85,85,85,id:twitter.com:1968203078,2016-10-02,"#auspol #qldpol #ausmedia #coal #Adani #AbbotPoint

You just cannot beat Facts!!  Another Extreme Green lie... https://t.co/zMtZloK76b","#auspol #qldpol #ausmedia #coal #Adani #AbbotPoint

You just cannot beat Facts!!  Another Extreme Green lie... ",You just cannot beat Facts!! Another Extreme Green lie...,You just cannot beat Facts!! Another Extreme Green lie...
86,86,86,id:twitter.com:19911489,2016-10-02,RT @AustralisTerry: @KevinBakerAU you've GOT TO BE KIDDING #Shenhua #csg #coal #directaction total fail #auspol,RT @AustralisTerry: @KevinBakerAU you've GOT TO BE KIDDING #Shenhua #csg #coal #directaction total fail #auspol,: you've GOT TO BE KIDDING total fail, you've GOT TO BE KIDDING total fail
87,87,87,id:twitter.com:15248759,2016-10-02,"RT @StopShenhua: ""No amount of conditions placed on this can disguise what is a disastrous decision"" #shenhua #auspol @greghuntmp https://t?","RT @StopShenhua: ""No amount of conditions placed on this can disguise what is a disastrous decision"" #shenhua #auspol @greghuntmp ",": ""No amount of conditions placed on this can disguise what is a disastrous decision"""," ""No amount of conditions placed on this can disguise what is a disastrous decision"""
88,88,88,id:twitter.com:444283892,2016-10-02,"RT @StopShenhua: #Shenhua in Mongolia ""2136 wells dried up, groundwater dropped by 100M"" #coal #liverpoolplains #auspol @mikebairdMP https:?","RT @StopShenhua: #Shenhua in Mongolia ""2136 wells dried up, groundwater dropped by 100M"" #coal #liverpoolplains #auspol @mikebairdMP ",": in Mongolia ""2136 wells dried up, groundwater dropped by M"""," in Mongolia ""2136 wells dried up, groundwater dropped by M"""
89,89,89,id:twitter.com:56018585,2016-10-02,RT @PilligaPush: @SantosNSW have been stopped in their tracks by a chorus of #ClimateAngels descended to protect #Pilliga from #csg https:/?,RT @PilligaPush: @SantosNSW have been stopped in their tracks by a chorus of #ClimateAngels descended to protect #Pilliga from #csg ,: have been stopped in their tracks by a chorus of descended to protect from, have been stopped in their tracks by a chorus of descended to protect from
90,90,90,id:twitter.com:187860077,2016-10-02,RT @market_forces: Funds have burned billions of dollars of our super on dirty #fossilfuels https://t.co/BteCpSXD3v #investment #coal https?,RT @market_forces: Funds have burned billions of dollars of our super on dirty #fossilfuels  #investment #coal ,: Funds have burned billions of dollars of our super on dirty, Funds have burned billions of dollars of our super on dirty
91,91,91,id:twitter.com:136226033,2016-10-02,"RT @StopShenhua: ""Not that I'm aware of.."" said @mikebairdmp today on #shenhua #liverpoolplains rumours #auspol #nswpol @TonyHWindsor https?","RT @StopShenhua: ""Not that I'm aware of.."" said @mikebairdmp today on #shenhua #liverpoolplains rumours #auspol #nswpol @TonyHWindsor ",": ""Not that I'm aware of.."" said today on rumours"," ""Not that I'm aware of.."" said today on rumours"
92,92,92,id:twitter.com:229439455,2016-10-02,"RT @StopShenhua: #Shenhua in Mongolia ""2136 wells dried up, groundwater dropped by 100M"" #coal #liverpoolplains #auspol @mikebairdMP https:?","RT @StopShenhua: #Shenhua in Mongolia ""2136 wells dried up, groundwater dropped by 100M"" #coal #liverpoolplains #auspol @mikebairdMP ",": in Mongolia ""2136 wells dried up, groundwater dropped by M"""," in Mongolia ""2136 wells dried up, groundwater dropped by M"""
93,93,93,id:twitter.com:1171115605,2016-10-02,I participate on a huge Giveaway. SELL YOUR SKINS to @CSGODetroit to get a huge overpay! @CSGODetroit #csgogiveaway https://t.co/dWfWfheP11,I participate on a huge Giveaway. SELL YOUR SKINS to @CSGODetroit to get a huge overpay! @CSGODetroit #csgogiveaway ,I participate on a huge Giveaway. SELL YOUR SKINS to to get a huge overpay!,I participate on a huge Giveaway. SELL YOUR SKINS to to get a huge overpay!
94,94,94,id:twitter.com:15248759,2016-10-02,RT @renew_economy: Is Australian #coal finally having its ?oh sh*t? moment? https://t.co/OldoqmVGs6,RT @renew_economy: Is Australian #coal finally having its ?oh sh*t? moment? ,: Is Australian finally having its ?oh sh*t? moment?, Is Australian finally having its ?oh sh*t? moment?
95,95,95,id:twitter.com:15248759,2016-10-02,"RT @PilligaPush: Stunning image from @ClimateGuardia action this morning in the #pilliga
#csg #nswpol https://t.co/jfgJBLx0Hl","RT @PilligaPush: Stunning image from @ClimateGuardia action this morning in the #pilliga
#csg #nswpol ",: Stunning image from action this morning in the, Stunning image from action this morning in the
96,96,96,id:twitter.com:7901142,2016-10-02,Video: Maules Creek coal mine destroying the Leard Forest https://t.co/C52eMhfaEj via @YouTube #coal #nswpol,Video: Maules Creek coal mine destroying the Leard Forest  via @YouTube #coal #nswpol,Video: Maules Creek coal mine destroying the Leard Forest via,Video: Maules Creek coal mine destroying the Leard Forest via
97,97,97,id:twitter.com:531149538,2016-10-02,RT @SEIclimate: Bad news for US efforts to meet #ParisAgreement commitment. How long till states stop fighting to burn dirty #coal? https:/?,RT @SEIclimate: Bad news for US efforts to meet #ParisAgreement commitment. How long till states stop fighting to burn dirty #coal? ,: Bad news for US efforts to meet commitment. How long till states stop fighting to burn dirty ?, Bad news for US efforts to meet commitment. How long till states stop fighting to burn dirty 
98,98,98,id:twitter.com:1256353970,2016-10-02,"Adani, planning controversial #coal project in Australia, now looking at #solar power in the country https://t.co/FFbhmCM6lv via @business","Adani, planning controversial #coal project in Australia, now looking at #solar power in the country  via @business","Adani, planning controversial project in Australia, now looking at power in the country via","Adani, planning controversial project in Australia, now looking at power in the country via"
99,99,99,id:twitter.com:15248759,2016-10-02,RT @DrewHutton1: AGL moving out of #csg now time to get @SantosLtd out of the Pilliga. @LockTheGate https://t.co/kJaupqoq5w,RT @DrewHutton1: AGL moving out of #csg now time to get @SantosLtd out of the Pilliga. @LockTheGate ,: AGL moving out of now time to get out of the Pilliga., AGL moving out of now time to get out of the Pilliga.
100,100,100,id:twitter.com:313228542,2016-10-02,"RT @PilligaPush: Stunning image from @ClimateGuardia action this morning in the #pilliga
#csg #nswpol https://t.co/jfgJBLx0Hl","RT @PilligaPush: Stunning image from @ClimateGuardia action this morning in the #pilliga
#csg #nswpol ",: Stunning image from action this morning in the, Stunning image from action this morning in the
101,101,101,id:twitter.com:907351848,2016-10-02,"RT @StopShenhua: ""No amount of conditions placed on this can disguise what is a disastrous decision"" #shenhua #auspol @greghuntmp https://t?","RT @StopShenhua: ""No amount of conditions placed on this can disguise what is a disastrous decision"" #shenhua #auspol @greghuntmp ",": ""No amount of conditions placed on this can disguise what is a disastrous decision"""," ""No amount of conditions placed on this can disguise what is a disastrous decision"""
102,102,102,id:twitter.com:7901142,2016-10-02,"Whitehaven Coal have destroyed a large part of the Leard Forest in 18mo, and are set to bulldoze more #coal #nswpol https://t.co/A8xU7cKVwK","Whitehaven Coal have destroyed a large part of the Leard Forest in 18mo, and are set to bulldoze more #coal #nswpol ","Whitehaven Coal have destroyed a large part of the Leard Forest in mo, and are set to bulldoze more","Whitehaven Coal have destroyed a large part of the Leard Forest in mo, and are set to bulldoze more"
103,103,103,id:twitter.com:78507634,2016-10-02,RT @Phil_Laird1: When PM &amp; incoming Deputy oppose #Shenhua #coal mine on #LPP:What chance has it got? #auspol https://t.co/yUg70OAc2W https?,RT @Phil_Laird1: When PM &amp; incoming Deputy oppose #Shenhua #coal mine on #LPP:What chance has it got? #auspol  ,: When PM &amp; incoming Deputy oppose mine on :What chance has it got?, When PM  incoming Deputy oppose mine on :What chance has it got?
104,104,104,id:twitter.com:805547964,2016-10-02,"Interesting scenario, possible new Nats leader, Barnaby, loses seat over plans for terrible #coal mine on #LiverpoolPlains! #auspol","Interesting scenario, possible new Nats leader, Barnaby, loses seat over plans for terrible #coal mine on #LiverpoolPlains! #auspol","Interesting scenario, possible new Nats leader, Barnaby, loses seat over plans for terrible mine on !","Interesting scenario, possible new Nats leader, Barnaby, loses seat over plans for terrible mine on !"
105,105,105,id:twitter.com:805547964,2016-10-02,"Interesting scenario, possible new Nats leader, Barnaby, loses seat over plans for terrible #coal mine on #LiverpoolPlains! #auspol","Interesting scenario, possible new Nats leader, Barnaby, loses seat over plans for terrible #coal mine on #LiverpoolPlains! #auspol","Interesting scenario, possible new Nats leader, Barnaby, loses seat over plans for terrible mine on !","Interesting scenario, possible new Nats leader, Barnaby, loses seat over plans for terrible mine on !"
106,106,106,id:twitter.com:805547964,2016-10-02,"Interesting scenario, possible new Nats leader, Barnaby, loses seat over plans for destructive #coal mine on #LiverpoolPlains! #auspol","Interesting scenario, possible new Nats leader, Barnaby, loses seat over plans for destructive #coal mine on #LiverpoolPlains! #auspol","Interesting scenario, possible new Nats leader, Barnaby, loses seat over plans for destructive mine on !","Interesting scenario, possible new Nats leader, Barnaby, loses seat over plans for destructive mine on !"
107,107,107,id:twitter.com:217217588,2016-10-02,RT @market_forces: Funds have burned billions of dollars of our super on dirty #fossilfuels https://t.co/BteCpSXD3v #investment #coal https?,RT @market_forces: Funds have burned billions of dollars of our super on dirty #fossilfuels  #investment #coal ,: Funds have burned billions of dollars of our super on dirty, Funds have burned billions of dollars of our super on dirty
108,108,108,id:twitter.com:2897999540,2016-10-02,Huge vertical solar farm in Melbourne CBD and all #NSWPOL gets is coal &amp;coal seam gas mines #auspol #shenhua #CSG https://t.co/kbZo3P2Kxy,Huge vertical solar farm in Melbourne CBD and all #NSWPOL gets is coal &amp;coal seam gas mines #auspol #shenhua #CSG ,Huge vertical solar farm in Melbourne CBD and all gets is coal &amp;coal seam gas mines,Huge vertical solar farm in Melbourne CBD and all gets is coal &amp;coal seam gas mines
109,109,109,id:twitter.com:158939457,2016-10-02,RT @AustralisTerry: Huge vertical solar farm in Melbourne CBD and all #NSWPOL gets is coal &amp;coal seam gas mines #auspol #shenhua #CSG https?,RT @AustralisTerry: Huge vertical solar farm in Melbourne CBD and all #NSWPOL gets is coal &amp;coal seam gas mines #auspol #shenhua #CSG ,: Huge vertical solar farm in Melbourne CBD and all gets is coal &amp;coal seam gas mines, Huge vertical solar farm in Melbourne CBD and all gets is coal &amp;coal seam gas mines
110,110,110,id:twitter.com:2885602614,2016-10-02,RT @AustralisTerry: Huge vertical solar farm in Melbourne CBD and all #NSWPOL gets is coal &amp;coal seam gas mines #auspol #shenhua #CSG https?,RT @AustralisTerry: Huge vertical solar farm in Melbourne CBD and all #NSWPOL gets is coal &amp;coal seam gas mines #auspol #shenhua #CSG ,: Huge vertical solar farm in Melbourne CBD and all gets is coal &amp;coal seam gas mines, Huge vertical solar farm in Melbourne CBD and all gets is coal &amp;coal seam gas mines
111,111,111,id:twitter.com:7901142,2016-10-02,Nathan Tinkler quits Australian Pacific Coal roles https://t.co/4bWYxOvePJ via @The_NDL #coal #nswpol,Nathan Tinkler quits Australian Pacific Coal roles  via @The_NDL #coal #nswpol,Nathan Tinkler quits Australian Pacific Coal roles via,Nathan Tinkler quits Australian Pacific Coal roles via
112,112,112,id:twitter.com:3231406891,2016-10-02,RT @AustralisTerry: Huge vertical solar farm in Melbourne CBD and all #NSWPOL gets is coal &amp;coal seam gas mines #auspol #shenhua #CSG https?,RT @AustralisTerry: Huge vertical solar farm in Melbourne CBD and all #NSWPOL gets is coal &amp;coal seam gas mines #auspol #shenhua #CSG ,: Huge vertical solar farm in Melbourne CBD and all gets is coal &amp;coal seam gas mines, Huge vertical solar farm in Melbourne CBD and all gets is coal &amp;coal seam gas mines
113,113,113,id:twitter.com:15248759,2016-10-02,RT @faully33: @L_DeWeaver @borgc No mention of coal as an industry on #liverpoolplains https://t.co/Cj44uldSiH,RT @faully33: @L_DeWeaver @borgc No mention of coal as an industry on #liverpoolplains ,: No mention of coal as an industry on, No mention of coal as an industry on
114,114,114,id:twitter.com:7901142,2016-10-02,Coal Companies Are Not The Victims https://t.co/VGTKsi51nl #coal,Coal Companies Are Not The Victims  #coal,Coal Companies Are Not The Victims,Coal Companies Are Not The Victims
115,115,115,id:twitter.com:3060753840,2016-10-02,"#auspol #qldpol #ausmedia #coal #renewables #fossilfuel #co2 #climatechange

Coal demand to increase to 2040

Who... https://t.co/gletb8Xw2U","#auspol #qldpol #ausmedia #coal #renewables #fossilfuel #co2 #climatechange

Coal demand to increase to 2040

Who... ",Coal demand to increase to Who...,Coal demand to increase to Who...
116,116,116,id:twitter.com:15248759,2016-10-02,RT @AusConservation: Qld mining lobby concedes the age of #coal is over: https://t.co/QgzfO4QUeE #Carmichael #qldpol #auspol @KellyOShanassy,RT @AusConservation: Qld mining lobby concedes the age of #coal is over:  #Carmichael #qldpol #auspol @KellyOShanassy,: Qld mining lobby concedes the age of is over:, Qld mining lobby concedes the age of is over:
117,117,117,id:twitter.com:178525354,2016-10-02,@TonyHWindsor Increasingly confident it won't happen now but keep up the good fight! #auspol #liverpoolplains,@TonyHWindsor Increasingly confident it won't happen now but keep up the good fight! #auspol #liverpoolplains,Increasingly confident it won't happen now but keep up the good fight!,Increasingly confident it won't happen now but keep up the good fight!
118,118,118,id:twitter.com:15248759,2016-10-02,"Unbelievable, especially when you know that #coal is killing a lot of #sustainable tourism jobs with pollution. https://t.co/KUDU7Ds6af","Unbelievable, especially when you know that #coal is killing a lot of #sustainable tourism jobs with pollution. ","Unbelievable, especially when you know that is killing a lot of tourism jobs with pollution.","Unbelievable, especially when you know that is killing a lot of tourism jobs with pollution."
119,119,119,id:twitter.com:2733971311,2016-10-02,"RT @L_DeWeaver: Unbelievable, especially when you know that #coal is killing a lot of #sustainable tourism jobs with pollution. https://t.c?","RT @L_DeWeaver: Unbelievable, especially when you know that #coal is killing a lot of #sustainable tourism jobs with pollution. ",": Unbelievable, especially when you know that is killing a lot of tourism jobs with pollution."," Unbelievable, especially when you know that is killing a lot of tourism jobs with pollution."
120,120,120,id:twitter.com:2197000904,2016-10-02,RT @maxphillips: Coal Companies Are Not The Victims https://t.co/VGTKsi51nl #coal,RT @maxphillips: Coal Companies Are Not The Victims  #coal,: Coal Companies Are Not The Victims, Coal Companies Are Not The Victims
121,121,121,id:twitter.com:18921376,2016-10-02,RT @market_forces: Funds have burned billions of dollars of our super on dirty #fossilfuels https://t.co/BteCpSXD3v #investment #coal https?,RT @market_forces: Funds have burned billions of dollars of our super on dirty #fossilfuels  #investment #coal ,: Funds have burned billions of dollars of our super on dirty, Funds have burned billions of dollars of our super on dirty
122,122,122,id:twitter.com:91676348,2016-10-02,@jamiesonmurph @StopShenhua @TonyHWindsor it won't wash with voters #shenhua #auspol @Barnaby_Joyce https://t.co/xpXoZBKHhJ,@jamiesonmurph @StopShenhua @TonyHWindsor it won't wash with voters #shenhua #auspol @Barnaby_Joyce ,it won't wash with voters,it won't wash with voters
123,123,123,id:twitter.com:3067160718,2016-10-02,"RT @StopShenhua: #Shenhua in Mongolia ""2136 wells dried up, groundwater dropped by 100M"" #coal #liverpoolplains #auspol @mikebairdMP https:?","RT @StopShenhua: #Shenhua in Mongolia ""2136 wells dried up, groundwater dropped by 100M"" #coal #liverpoolplains #auspol @mikebairdMP ",": in Mongolia ""2136 wells dried up, groundwater dropped by M"""," in Mongolia ""2136 wells dried up, groundwater dropped by M"""
124,124,124,id:twitter.com:1664093738,2016-10-02,#leardblockade #coal #Pilliga #shenhua #auspol  https://t.co/WvgNSM22NH,#leardblockade #coal #Pilliga #shenhua #auspol  ,,
125,125,125,id:twitter.com:13183132,2016-10-02,"RT @StopShenhua: ""There are six significant indigenous sites within the proposed #shenhua mine site, these must be protected"" #auspol https?","RT @StopShenhua: ""There are six significant indigenous sites within the proposed #shenhua mine site, these must be protected"" #auspol ",": ""There are six significant indigenous sites within the proposed mine site, these must be protected"""," ""There are six significant indigenous sites within the proposed mine site, these must be protected"""
126,126,126,id:twitter.com:2424842533,2016-10-02,"When the going gets tough, #Australia #coal miners want government support. Another sign of bottom for #commodities. https://t.co/6i4P4mtoyc","When the going gets tough, #Australia #coal miners want government support. Another sign of bottom for #commodities. ","When the going gets tough, miners want government support. Another sign of bottom for .","When the going gets tough, miners want government support. Another sign of bottom for ."
127,127,127,id:twitter.com:219576027,2016-10-02,RT @molessarah: #climate angels red ribbon from #paris conference crossed in #pilligapush arrests #santos #water #csg @lockthegate  https:/?,RT @molessarah: #climate angels red ribbon from #paris conference crossed in #pilligapush arrests #santos #water #csg @lockthegate  ,: angels red ribbon from conference crossed in arrests, angels red ribbon from conference crossed in arrests
128,128,128,id:twitter.com:3008114534,2016-10-02,RT @AustralisTerry: Huge vertical solar farm in Melbourne CBD and all #NSWPOL gets is coal &amp;coal seam gas mines #auspol #shenhua #CSG https?,RT @AustralisTerry: Huge vertical solar farm in Melbourne CBD and all #NSWPOL gets is coal &amp;coal seam gas mines #auspol #shenhua #CSG ,: Huge vertical solar farm in Melbourne CBD and all gets is coal &amp;coal seam gas mines, Huge vertical solar farm in Melbourne CBD and all gets is coal &amp;coal seam gas mines
129,129,129,id:twitter.com:3008114534,2016-10-02,RT @AustralisTerry: Australia's landholders are up in arms everywhere over inappropriate mining #Auspol #shenhua #Adani #newhope https://t.?,RT @AustralisTerry: Australia's landholders are up in arms everywhere over inappropriate mining #Auspol #shenhua #Adani #newhope ,: Australia's landholders are up in arms everywhere over inappropriate mining, Australia's landholders are up in arms everywhere over inappropriate mining
130,130,130,id:twitter.com:1132832803,2016-10-02,RT @peterjameswills: @jamiesonmurph @StopShenhua @TonyHWindsor it won't wash with voters #shenhua #auspol @Barnaby_Joyce https://t.co/xpXoZ?,RT @peterjameswills: @jamiesonmurph @StopShenhua @TonyHWindsor it won't wash with voters #shenhua #auspol @Barnaby_Joyce ,: it won't wash with voters, it won't wash with voters
131,131,131,id:twitter.com:2429615682,2016-10-02,RT @peterjameswills: @jamiesonmurph @StopShenhua @TonyHWindsor it won't wash with voters #shenhua #auspol @Barnaby_Joyce https://t.co/xpXoZ?,RT @peterjameswills: @jamiesonmurph @StopShenhua @TonyHWindsor it won't wash with voters #shenhua #auspol @Barnaby_Joyce ,: it won't wash with voters, it won't wash with voters
132,132,132,id:twitter.com:38634673,2016-10-02,RT @peterjameswills: @jamiesonmurph @StopShenhua @TonyHWindsor it won't wash with voters #shenhua #auspol @Barnaby_Joyce https://t.co/xpXoZ?,RT @peterjameswills: @jamiesonmurph @StopShenhua @TonyHWindsor it won't wash with voters #shenhua #auspol @Barnaby_Joyce ,: it won't wash with voters, it won't wash with voters
133,133,133,id:twitter.com:2415264138,2016-10-02,RT @peterjameswills: @jamiesonmurph @StopShenhua @TonyHWindsor it won't wash with voters #shenhua #auspol @Barnaby_Joyce https://t.co/xpXoZ?,RT @peterjameswills: @jamiesonmurph @StopShenhua @TonyHWindsor it won't wash with voters #shenhua #auspol @Barnaby_Joyce ,: it won't wash with voters, it won't wash with voters
134,134,134,id:twitter.com:2365949540,2016-10-02,"RT @ourcarbon: A bankrupt Appalachian #coal company is laying off 100s. 
Basically, because nobody likes coal anymore. 

https://t.co/3C3jV?","RT @ourcarbon: A bankrupt Appalachian #coal company is laying off 100s. 
Basically, because nobody likes coal anymore. 

",": A bankrupt Appalachian company is laying off s. Basically, because nobody likes coal anymore."," A bankrupt Appalachian company is laying off s. Basically, because nobody likes coal anymore."
135,135,135,id:twitter.com:140399326,2016-10-02,RT @peterjameswills: @jamiesonmurph @StopShenhua @TonyHWindsor it won't wash with voters #shenhua #auspol @Barnaby_Joyce https://t.co/xpXoZ?,RT @peterjameswills: @jamiesonmurph @StopShenhua @TonyHWindsor it won't wash with voters #shenhua #auspol @Barnaby_Joyce ,: it won't wash with voters, it won't wash with voters
136,136,136,id:twitter.com:1204254487,2016-10-02,"RT @PilligaPush: Just how much water do SANTOS intend to take out of the #GAB? 
A whopping 46 gigalitres!
#csg #nswpol #pilligapush https:/?","RT @PilligaPush: Just how much water do SANTOS intend to take out of the #GAB? 
A whopping 46 gigalitres!
#csg #nswpol #pilligapush ",: Just how much water do SANTOS intend to take out of the ? A whopping gigalitres!, Just how much water do SANTOS intend to take out of the  A whopping gigalitres!
137,137,137,id:twitter.com:1204254487,2016-10-02,RT @molessarah: #climate angels red ribbon from #paris conference crossed in #pilligapush arrests #santos #water #csg @lockthegate  https:/?,RT @molessarah: #climate angels red ribbon from #paris conference crossed in #pilligapush arrests #santos #water #csg @lockthegate  ,: angels red ribbon from conference crossed in arrests, angels red ribbon from conference crossed in arrests
138,138,138,id:twitter.com:4194543313,2016-10-02,RT @AustralisTerry: Huge vertical solar farm in Melbourne CBD and all #NSWPOL gets is coal &amp;coal seam gas mines #auspol #shenhua #CSG https?,RT @AustralisTerry: Huge vertical solar farm in Melbourne CBD and all #NSWPOL gets is coal &amp;coal seam gas mines #auspol #shenhua #CSG ,: Huge vertical solar farm in Melbourne CBD and all gets is coal &amp;coal seam gas mines, Huge vertical solar farm in Melbourne CBD and all gets is coal &amp;coal seam gas mines
139,139,139,id:twitter.com:4194543313,2016-10-02,"RT @AustralisTerry: Oil sheik gives @greghunt Best Minister in World award?
https://t.co/rkvAZFC9Gl #auspol #csg #coal #shenhua #adani","RT @AustralisTerry: Oil sheik gives @greghunt Best Minister in World award?
 #auspol #csg #coal #shenhua #adani",: Oil sheik gives Best Minister in World award?, Oil sheik gives Best Minister in World award?
140,140,140,id:twitter.com:13183132,2016-10-02,RT @AusConservation: Qld mining lobby concedes the age of #coal is over: https://t.co/QgzfO4QUeE #Carmichael #qldpol #auspol @KellyOShanassy,RT @AusConservation: Qld mining lobby concedes the age of #coal is over:  #Carmichael #qldpol #auspol @KellyOShanassy,: Qld mining lobby concedes the age of is over:, Qld mining lobby concedes the age of is over:
141,141,141,id:twitter.com:148671768,2016-10-02,"RT @L_DeWeaver: Unbelievable, especially when you know that #coal is killing a lot of #sustainable tourism jobs with pollution. https://t.c?","RT @L_DeWeaver: Unbelievable, especially when you know that #coal is killing a lot of #sustainable tourism jobs with pollution. ",": Unbelievable, especially when you know that is killing a lot of tourism jobs with pollution."," Unbelievable, especially when you know that is killing a lot of tourism jobs with pollution."
142,142,142,id:twitter.com:3526452312,2016-10-02,@csgo_giveawaysZ is sponsoring a AK-47 Wasteland FT for #giveaway #csgo | follow for more giveaways @csgo_giveawaysZ https://t.co/5oTftfXLAD,@csgo_giveawaysZ is sponsoring a AK-47 Wasteland FT for #giveaway #csgo | follow for more giveaways @csgo_giveawaysZ ,is sponsoring a AK-47 Wasteland FT for | follow for more giveaways,is sponsoring a AK-47 Wasteland FT for | follow for more giveaways
