"Cust_ID","Target","Age","Gender","Balance","Occupation","No_OF_CR_TXNS","AGE_BKT","SCR","Holding_Period"
"C14137",0,48,"F",42013.19,"SAL",10,"46-50",728,27
"C14138",0,38,"F",176949.65,"",17,"36-40",129,18
"C14139",0,51,"F",190160.11,"PROF",12,">50",177,24
"C1414",0,30,"M",180674.68,"SAL",50,"26-30",355,15
"C14140",0,33,"F",16877.58,"",7,"31-35",450,27
"C14141",0,51,"F",491254.06,"PROF",10,">50",835,21
"C14142",0,35,"F",413847.45,"",3,"31-35",212,20
"C14143",0,28,"F",231414.02,"PROF",19,"26-30",888,17
"C14144",0,26,"F",122760.37,"PROF",6,"26-30",728,28
"C14145",0,55,"F",385521.94,"SAL",15,">50",100,30
"C14146",0,33,"F",72925.26,"SAL",15,"31-35",503,28
"C14147",0,31,"F",42661.48,"",15,"31-35",225,8
"C14148",0,37,"F",5180.77,"PROF",16,"36-40",188,4
"C14149",0,39,"F",100491.95,"PROF",7,"36-40",216,30
"C1415",0,44,"M",7346.21,"SAL",48,"41-45",485,28
"C14150",0,37,"F",200780,"PROF",14,"36-40",407,26
"C14151",0,31,"F",886643.51,"",2,"31-35",986,21
"C14152",0,52,"F",16108.54,"PROF",17,">50",690,30
"C14153",0,52,"F",471872.28,"PROF",17,">50",948,26
"C14154",0,40,"F",441978.49,"PROF",20,"36-40",365,2
"C14155",0,28,"F",226843.65,"PROF",12,"26-30",349,9
"C14156",0,34,"F",210177.85,"",18,"31-35",442,25
"C14157",0,29,"F",33700.42,"PROF",0,"26-30",258,18
"C14158",0,22,"F",295685.32,"PROF",0,"<25",218,21
"C14159",0,31,"F",17483.09,"PROF",7,"31-35",226,27
"C1416",0,30,"M",298228.41,"SAL",6,"26-30",499,24
"C14160",0,21,"F",139572.05,"SAL",8,"<25",589,11
"C14161",0,55,"F",77351.09,"PROF",7,">50",870,15
"C14162",0,42,"F",421304.14,"",14,"41-45",707,18
"C14163",0,34,"F",396117.89,"",12,"31-35",194,8
"C14164",0,36,"F",31158.34,"",5,"36-40",451,24
"C14165",0,41,"F",78523.58,"SAL",19,"41-45",663,30
"C14166",0,39,"F",86621.5,"PROF",17,"36-40",624,21
"C14167",0,45,"F",17772.85,"",7,"41-45",193,10
"C14168",0,43,"F",433358.61,"SAL",2,"41-45",759,18
"C14169",0,43,"F",38271.52,"",4,"41-45",444,14
"C1417",0,33,"M",31224.04,"SAL",22,"31-35",124,17
"C14170",0,47,"F",166510.08,"",8,"46-50",193,12
"C14171",0,31,"F",99650.14,"",6,"31-35",364,3
"C14172",0,39,"F",388547.73,"",9,"36-40",415,30
"C14173",0,41,"F",528302.63,"",8,"41-45",791,25
"C14174",0,26,"F",113092.86,"",11,"26-30",748,6
"C14175",0,40,"F",876250.68,"",14,"36-40",995,23
"C14176",0,35,"F",616344.31,"",15,"31-35",220,5
"C14177",0,32,"F",211753.56,"",1,"31-35",596,24
"C14178",0,42,"F",704644.69,"",4,"41-45",165,17
"C14179",0,33,"F",241307.62,"SAL",3,"31-35",201,4
"C1418",0,48,"M",165308.32,"SAL",32,"46-50",590,11
"C14180",0,24,"F",521385.58,"",3,"<25",551,21
"C14181",0,21,"F",150176.72,"",4,"<25",442,2
"C14182",0,23,"F",488524.15,"",2,"<25",822,22
"C14183",0,22,"F",112929.36,"",0,"<25",882,20
"C14184",0,22,"F",146991.48,"",3,"<25",589,8
"C14185",0,21,"F",83412.25,"",9,"<25",377,4
"C14186",0,53,"F",2328.05,"",12,">50",409,6
"C14187",0,46,"F",39622.02,"",2,"46-50",829,19
"C14188",0,49,"F",174103.27,"SELF-EMP",19,"46-50",280,4
"C14189",0,47,"F",97244.03,"",16,"46-50",590,17
"C1419",0,51,"M",9771.44,"SAL",21,">50",837,9
"C14190",0,35,"F",174229.71,"",13,"31-35",257,26
"C14191",0,28,"F",18448.89,"",14,"26-30",481,31
"C14192",0,48,"F",572353.08,"SELF-EMP",7,"46-50",189,1
"C14193",0,46,"F",66119.32,"",0,"46-50",946,1
"C14194",0,50,"F",102361.29,"",17,"46-50",320,27
"C14195",0,27,"F",58844.44,"",11,"26-30",610,23
"C14196",0,53,"F",244445.58,"",9,">50",935,21
"C14197",0,54,"F",26518,"SELF-EMP",0,">50",650,3
"C14198",0,41,"F",473609.15,"SAL",12,"41-45",714,9
"C14199",0,30,"F",583540.86,"",7,"26-30",206,11
"C142",0,33,"F",13113.7,"SAL",5,"31-35",891,13
"C1420",0,50,"M",121098.51,"SAL",20,"46-50",618,20
"C14200",0,44,"F",150236.73,"",19,"41-45",851,31
"C14201",0,45,"F",6876.7,"SELF-EMP",4,"41-45",176,27
"C14202",0,32,"F",188853.81,"",12,"31-35",356,10
"C14203",0,23,"F",113841.79,"PROF",14,"<25",206,31
"C14204",0,23,"F",436595.11,"",8,"<25",271,18
"C14205",0,49,"F",140196.16,"PROF",5,"46-50",902,24
"C14206",0,36,"F",440662.13,"",20,"36-40",299,28
"C14207",0,40,"F",409497.56,"SELF-EMP",10,"36-40",836,22
"C14208",0,28,"F",317493.68,"SELF-EMP",16,"26-30",607,5
"C14209",0,46,"F",18290.24,"",8,"46-50",313,24
"C1421",0,43,"M",34362.4,"SAL",8,"41-45",894,10
"C14210",0,33,"F",125891.66,"",3,"31-35",531,11
"C14211",0,44,"F",44674.91,"",17,"41-45",111,4
"C14212",0,54,"F",15035.51,"",17,">50",956,29
"C14213",0,42,"F",50853.74,"SELF-EMP",3,"41-45",426,14
"C14214",0,30,"F",330439.52,"SELF-EMP",6,"26-30",506,1
"C14215",0,22,"F",21157.67,"",4,"<25",319,12
"C14216",0,45,"F",408045.39,"",18,"41-45",544,7
"C14217",0,47,"F",427671.88,"SELF-EMP",5,"46-50",397,0
"C14218",0,31,"F",3876.45,"SELF-EMP",0,"31-35",765,15
"C14219",0,41,"F",88990.77,"SELF-EMP",10,"41-45",629,13
"C1422",0,42,"M",17949.44,"SELF-EMP",8,"41-45",833,24
"C14220",0,47,"F",397877.39,"SELF-EMP",11,"46-50",951,17
"C14221",0,28,"F",7214.48,"SAL",7,"26-30",969,10
"C14222",0,52,"F",22323.14,"",1,">50",969,24
"C14223",0,34,"F",131416.25,"SAL",7,"31-35",921,13
"C14224",0,28,"F",414852.22,"SAL",15,"26-30",836,31
"C14225",0,49,"F",250321.92,"",14,"46-50",287,8
"C14226",0,23,"F",406094,"SELF-EMP",4,"<25",896,20
"C14227",0,44,"F",125075.03,"",6,"41-45",507,18
"C14228",0,31,"F",18630.39,"PROF",16,"31-35",143,28
"C14229",0,35,"F",49742.6,"SAL",9,"31-35",735,18
"C1423",0,45,"M",34983.05,"PROF",21,"41-45",714,8
"C14230",0,45,"F",639445.84,"",14,"41-45",113,30
"C14231",0,45,"F",52771.42,"",6,"41-45",354,8
"C14232",0,43,"F",22653.65,"",3,"41-45",977,2
"C14233",0,55,"F",456400.72,"",19,">50",966,6
"C14234",0,31,"F",10343.05,"SELF-EMP",14,"31-35",499,0
"C14235",0,31,"F",20285.54,"",0,"31-35",955,20
"C14236",0,22,"F",189821.61,"",9,"<25",870,31
"C14237",0,38,"F",4297.34,"SELF-EMP",16,"36-40",815,8
"C14238",0,55,"F",489487.51,"SAL",14,">50",149,30
"C14239",0,55,"F",36307.18,"SELF-EMP",10,">50",245,12
"C1424",0,37,"M",93555.83,"SAL",10,"36-40",682,9
"C14240",0,55,"F",10124.95,"PROF",17,">50",871,3
"C14241",0,54,"F",42205.58,"SELF-EMP",8,">50",857,10
"C14242",0,45,"F",7030.71,"",10,"41-45",324,10
"C14243",0,45,"F",43986.83,"PROF",2,"41-45",734,30
"C14244",0,30,"F",8259.97,"",13,"26-30",554,12
"C14245",0,33,"F",165932.97,"",0,"31-35",517,27
"C14246",0,26,"F",25391.38,"",11,"26-30",401,21
"C14247",0,38,"F",85828.53,"SELF-EMP",19,"36-40",167,16
"C14248",0,43,"F",48615.61,"",1,"41-45",119,10
"C14249",0,55,"F",255132.21,"PROF",1,">50",950,23
"C1425",1,30,"M",25616.01,"",17,"26-30",816,1
"C14250",0,54,"F",92090.41,"",0,">50",659,9
"C14251",0,32,"F",47203.65,"",19,"31-35",677,16
"C14252",0,40,"F",154780.83,"SELF-EMP",11,"36-40",215,29
"C14253",0,32,"F",424018.15,"",16,"31-35",499,30
"C14254",0,41,"F",27737.26,"",2,"41-45",993,29
"C14255",0,34,"F",57451.93,"SAL",4,"31-35",394,1
"C14256",0,44,"F",568532.24,"PROF",20,"41-45",485,28
"C14257",0,28,"F",464143.84,"SELF-EMP",9,"26-30",468,6
"C14258",0,51,"F",204873.74,"SAL",15,">50",894,18
"C14259",0,45,"F",16586.01,"SAL",4,"41-45",134,28
"C1426",0,35,"M",5341.55,"SAL",48,"31-35",713,15
"C14260",0,30,"F",90583.22,"SAL",1,"26-30",923,8
"C14261",0,30,"F",428574.12,"SAL",3,"26-30",255,27
"C14262",0,50,"F",9316.32,"SELF-EMP",15,"46-50",787,24
"C14263",0,23,"F",125650.88,"SAL",7,"<25",994,23
"C14264",0,55,"F",206140.62,"SELF-EMP",17,">50",464,31
"C14265",0,41,"F",295751.14,"SAL",12,"41-45",840,30
"C14266",0,48,"F",178340.35,"SAL",7,"46-50",986,20
"C14267",0,44,"F",57184.13,"SAL",5,"41-45",134,28
"C14268",0,36,"F",78228.45,"SELF-EMP",9,"36-40",708,11
"C14269",0,44,"F",521880.83,"SELF-EMP",6,"41-45",973,5
"C1427",0,39,"M",39048.06,"SAL",48,"36-40",558,29
"C14270",0,35,"F",78103.09,"SAL",0,"31-35",889,25
"C14271",0,32,"F",141506.48,"SAL",15,"31-35",537,29
"C14272",0,28,"F",11912.05,"SAL",12,"26-30",988,5
"C14273",0,32,"F",45442.91,"SELF-EMP",4,"31-35",209,25
"C14274",0,34,"F",98979.67,"SELF-EMP",3,"31-35",361,30
"C14275",0,24,"F",499966.18,"SELF-EMP",10,"<25",378,5
"C14276",0,39,"F",552362.8,"",5,"36-40",165,27
"C14277",0,41,"F",219639.05,"",20,"41-45",123,15
"C14278",0,41,"F",74679.62,"SAL",0,"41-45",868,2
"C14279",0,29,"F",46059.26,"PROF",20,"26-30",436,21
"C1428",0,26,"M",63487.24,"SAL",11,"26-30",210,11
"C14280",0,41,"F",526214.02,"PROF",1,"41-45",458,1
"C14281",0,41,"F",20874.44,"PROF",6,"41-45",953,1
"C14282",0,33,"F",21984.74,"PROF",2,"31-35",757,30
"C14283",0,44,"F",43080.21,"PROF",1,"41-45",854,6
"C14284",0,55,"F",13687.11,"PROF",14,">50",161,2
"C14285",0,37,"F",79699.04,"PROF",18,"36-40",682,5
"C14286",0,39,"F",345347.88,"",3,"36-40",380,24
"C14287",0,51,"F",259532.4,"",15,">50",157,22
"C14288",0,26,"F",378655.62,"PROF",19,"26-30",322,1
"C14289",0,45,"F",26677.55,"PROF",14,"41-45",703,21
"C1429",0,52,"M",21113.24,"SAL",2,">50",250,24
"C14290",0,52,"F",152138.91,"PROF",13,">50",381,3
"C14291",0,25,"F",31561.65,"PROF",13,"<25",430,26
"C14292",0,27,"F",133226.01,"SAL",13,"26-30",400,2
"C14293",0,38,"F",10546.43,"PROF",17,"36-40",331,17
"C14294",0,42,"F",331764.95,"PROF",12,"41-45",267,7
"C14295",0,45,"F",44470.22,"PROF",1,"41-45",343,22
"C14296",0,24,"F",470367.89,"",14,"<25",945,20
"C14297",0,44,"F",2353.37,"",2,"41-45",279,25
"C14298",0,49,"F",106444.6,"",7,"46-50",920,0
"C14299",0,44,"F",155561.5,"PROF",7,"41-45",379,0
"C143",0,42,"F",10192.41,"SAL",7,"41-45",784,30
"C1430",0,32,"M",88697.21,"SAL",29,"31-35",390,13
"C14300",0,51,"F",414065.04,"",9,">50",634,17
"C14301",0,31,"F",18057.76,"PROF",8,"31-35",589,11
"C14302",0,27,"F",38888.37,"PROF",6,"26-30",787,1
"C14303",0,49,"F",20602.04,"PROF",10,"46-50",722,29
"C14304",0,32,"F",371036.84,"PROF",1,"31-35",264,25
"C14305",0,26,"F",485491.45,"PROF",11,"26-30",127,25
"C14306",0,23,"F",682406.34,"PROF",5,"<25",550,23
"C14307",0,25,"F",224437.92,"PROF",17,"<25",662,13
"C14308",0,25,"F",71844.86,"PROF",4,"<25",968,25
"C14309",0,33,"F",445028.81,"",5,"31-35",687,23
"C1431",1,38,"M",18502.25,"",31,"36-40",841,4
"C14310",0,33,"F",39664.01,"",0,"31-35",120,14
"C14311",0,40,"F",447073.93,"SAL",3,"36-40",602,30
"C14312",0,40,"F",100547.23,"",0,"36-40",680,18
"C14313",0,38,"F",448107.71,"PROF",11,"36-40",124,22
"C14314",0,25,"F",97633.59,"PROF",11,"<25",275,3
"C14315",0,40,"F",34489.33,"PROF",20,"36-40",481,8
"C14316",0,46,"F",163289.95,"",4,"46-50",111,29
"C14317",0,53,"F",631535.23,"PROF",15,">50",203,6
"C14318",0,28,"F",55427.56,"PROF",20,"26-30",897,11
"C14319",0,52,"F",23957.85,"",1,">50",722,30
"C1432",1,52,"M",17207.08,"",16,">50",716,4
"C14320",0,26,"F",253180.23,"PROF",20,"26-30",434,27
"C14321",0,55,"F",25913.25,"",17,">50",548,11
"C14322",0,43,"F",4828.02,"PROF",1,"41-45",929,0
"C14323",0,49,"F",25622.87,"PROF",14,"46-50",720,8
"C14324",0,35,"F",165075.3,"PROF",2,"31-35",482,24
"C14325",0,30,"F",464340.58,"PROF",6,"26-30",202,9
"C14326",0,21,"F",20899.53,"PROF",10,"<25",425,0
"C14327",0,30,"F",11993.21,"",5,"26-30",438,19
"C14328",0,42,"F",0,"PROF",1,"41-45",511,2
"C14329",0,46,"F",93508.91,"PROF",8,"46-50",708,24
"C1433",1,33,"M",75708.09,"SAL",17,"31-35",667,16
"C14330",0,37,"F",267037.21,"",13,"36-40",360,12
"C14331",0,35,"F",437666.28,"",11,"31-35",156,16
"C14332",0,28,"F",37161.8,"",18,"26-30",125,1
"C14333",0,33,"F",169808.43,"",14,"31-35",950,28
"C14334",0,42,"F",1140804.34,"SAL",16,"41-45",899,26
"C14335",0,45,"F",540650.62,"",2,"41-45",222,12
"C14336",0,41,"F",89255.97,"SELF-EMP",11,"41-45",725,15
"C14337",0,41,"F",424526.47,"",5,"41-45",938,9
"C14338",0,34,"F",32107.81,"",15,"31-35",357,17
"C14339",0,43,"F",15439.39,"SELF-EMP",18,"41-45",995,18
"C1434",1,46,"M",21592.32,"SAL",32,"46-50",680,6
"C14340",0,44,"F",94192.66,"SELF-EMP",7,"41-45",391,15
"C14341",0,36,"F",15207.96,"SELF-EMP",0,"36-40",536,1
"C14342",0,29,"F",14677.75,"SELF-EMP",7,"26-30",537,13
"C14343",0,27,"F",172015.15,"SELF-EMP",1,"26-30",265,31
"C14344",0,51,"F",46612.08,"SELF-EMP",6,">50",170,18
"C14345",0,26,"F",218327.98,"SELF-EMP",1,"26-30",626,3
"C14346",0,26,"F",42642.92,"SELF-EMP",16,"26-30",445,21
"C14347",0,29,"F",64050.75,"SELF-EMP",7,"26-30",892,26
"C14348",0,46,"F",3289.25,"SELF-EMP",10,"46-50",577,28
"C14349",0,33,"F",491669.13,"PROF",8,"31-35",385,14
"C1435",0,50,"M",65597.53,"SAL",15,"46-50",675,1
"C14350",0,35,"F",16352.68,"SELF-EMP",6,"31-35",674,8
"C14351",0,41,"F",166288.65,"SELF-EMP",3,"41-45",912,18
"C14352",0,44,"F",235332.5,"SELF-EMP",15,"41-45",275,26
"C14353",0,29,"F",32331.28,"SELF-EMP",12,"26-30",869,23
"C14354",0,31,"F",494764.72,"",6,"31-35",300,14
"C14355",0,28,"F",52075.6,"SELF-EMP",2,"26-30",352,30
"C14356",0,42,"F",171306.6,"SELF-EMP",1,"41-45",226,6
"C14357",0,26,"F",628271.61,"SELF-EMP",4,"26-30",895,23
"C14358",0,36,"F",133077.38,"SELF-EMP",10,"36-40",629,28
"C14359",0,55,"F",406714.26,"SELF-EMP",15,">50",412,13
"C1436",0,37,"M",40979.83,"SAL",7,"36-40",207,23
"C14360",0,33,"F",366311.72,"SELF-EMP",15,"31-35",816,5
"C14361",0,34,"F",183260.94,"SELF-EMP",10,"31-35",627,8
"C14362",0,31,"F",239945.07,"SELF-EMP",11,"31-35",603,17
"C14363",0,48,"F",288063.16,"PROF",4,"46-50",199,28
"C14364",0,32,"F",43669.62,"SELF-EMP",20,"31-35",921,28
"C14365",0,33,"F",145689.91,"SELF-EMP",4,"31-35",909,7
"C14366",0,47,"F",25596.03,"",3,"46-50",996,16
"C14367",0,25,"F",523224.31,"SELF-EMP",0,"<25",732,1
"C14368",0,47,"F",211119.11,"SELF-EMP",9,"46-50",420,4
"C14369",0,35,"F",199082.47,"SELF-EMP",5,"31-35",916,25
"C1437",0,44,"M",9278.93,"SAL",31,"41-45",381,2
"C14370",0,24,"F",174222.8,"SELF-EMP",16,"<25",563,27
"C14371",0,26,"F",198660.11,"SELF-EMP",15,"26-30",720,17
"C14372",0,35,"F",375025.23,"SELF-EMP",10,"31-35",655,23
"C14373",0,41,"F",21642.4,"SELF-EMP",16,"41-45",152,23
"C14374",0,32,"F",144339.01,"SELF-EMP",1,"31-35",347,25
"C14375",0,38,"F",21951.51,"SELF-EMP",3,"36-40",567,1
"C14376",0,48,"F",47785.43,"",18,"46-50",487,18
"C14377",0,55,"F",382422.24,"PROF",13,">50",875,16
"C14378",0,34,"F",64291.31,"PROF",20,"31-35",919,24
"C14379",0,43,"F",116457.91,"",15,"41-45",533,1
"C1438",0,51,"M",51977.35,"SAL",32,">50",131,6
"C14380",0,37,"F",217700.13,"",19,"36-40",180,22
"C14381",0,52,"F",142102.08,"SAL",18,">50",190,6
"C14382",0,32,"F",554147.44,"SELF-EMP",8,"31-35",997,0
"C14383",0,39,"F",59794.95,"",17,"36-40",431,25
"C14384",0,38,"F",696895.58,"",11,"36-40",930,13
"C14385",0,22,"F",151305.51,"PROF",14,"<25",745,0
"C14386",0,30,"F",463398.3,"SELF-EMP",18,"26-30",849,17
"C14387",0,40,"F",35913.36,"PROF",12,"36-40",578,1
"C14388",0,51,"F",250.22,"PROF",0,">50",366,13
"C14389",0,38,"F",103203.96,"PROF",11,"36-40",223,14
"C1439",0,32,"M",28530.69,"SAL",38,"31-35",353,1
"C14390",0,36,"F",124340.37,"",5,"36-40",697,29
"C14391",0,50,"F",37416.94,"",12,"46-50",827,14
"C14392",0,34,"F",560452.52,"SELF-EMP",4,"31-35",565,25
"C14393",0,26,"F",53030.93,"",11,"26-30",622,1
"C14394",0,30,"F",207119.41,"",17,"26-30",443,8
"C14395",0,32,"F",27980.19,"",7,"31-35",990,12
"C14396",0,24,"F",162782.64,"",2,"<25",562,13
"C14397",0,34,"F",235939.54,"",18,"31-35",367,4
"C14398",0,28,"F",127680.47,"",11,"26-30",389,4
"C14399",0,22,"F",38303.37,"",12,"<25",841,18
"C144",0,38,"F",212521.94,"SAL",46,"36-40",445,11
"C1440",0,36,"M",7822.25,"PROF",33,"36-40",617,25
"C14400",0,22,"F",126260.71,"SELF-EMP",2,"<25",493,23
"C14401",0,27,"F",405421.01,"PROF",5,"26-30",992,5
"C14402",0,21,"F",120979.62,"",20,"<25",689,16
"C14403",0,49,"F",166267.89,"",1,"46-50",230,27
"C14404",0,37,"F",27695.18,"SAL",13,"36-40",153,18
"C14405",0,51,"F",73253.42,"",12,">50",133,28
"C14406",0,53,"F",31005.69,"",8,">50",635,1
"C14407",0,40,"F",30631.17,"SAL",20,"36-40",251,9
"C14408",0,30,"F",91107.2,"SAL",8,"26-30",843,11
"C14409",0,22,"F",377545.3,"",12,"<25",794,21
"C1441",0,39,"M",168674.85,"SAL",29,"36-40",593,30
"C14410",0,23,"F",145200.3,"",1,"<25",853,6
"C14411",0,25,"F",566891.64,"",0,"<25",606,8
"C14412",0,32,"F",303416,"",13,"31-35",942,1
"C14413",0,29,"F",518055.63,"SELF-EMP",2,"26-30",313,24
"C14414",0,39,"F",749.85,"PROF",0,"36-40",607,11
"C14415",0,43,"F",56863.59,"",0,"41-45",652,26
"C14416",0,29,"F",121591.78,"",13,"26-30",398,29
"C14417",0,32,"F",102771.96,"",3,"31-35",211,27
"C14418",0,27,"F",74945.9,"",14,"26-30",370,6
"C14419",0,28,"F",124.98,"",5,"26-30",227,16
"C1442",0,35,"M",51667.82,"SAL",13,"31-35",986,20
"C14420",0,26,"F",85276.13,"",10,"26-30",819,7
"C14421",0,30,"F",441571.28,"",16,"26-30",638,0
"C14422",0,24,"F",245310.77,"",13,"<25",557,7
"C14423",0,26,"F",324600.43,"",19,"26-30",836,16
"C14424",0,29,"F",708045.08,"SAL",1,"26-30",670,15
"C14425",0,22,"F",282301.46,"SAL",19,"<25",592,6
"C14426",0,21,"F",24026.37,"SAL",8,"<25",520,2
"C14427",0,22,"F",234014.58,"",6,"<25",319,13
"C14428",0,23,"F",449825.97,"",15,"<25",125,23
"C14429",0,32,"F",456358.44,"",15,"31-35",190,2
"C1443",0,49,"M",8130.93,"SAL",7,"46-50",132,28
"C14430",0,21,"F",79413.93,"",20,"<25",481,17
"C14431",0,21,"F",177813.24,"PROF",12,"<25",642,28
"C14432",0,21,"F",395068.73,"",9,"<25",658,28
"C14433",0,22,"F",512545.47,"",18,"<25",240,13
"C14434",0,22,"F",128053.47,"",15,"<25",288,2
"C14435",0,22,"F",510121.96,"",5,"<25",328,11
"C14436",0,22,"F",90077.56,"PROF",12,"<25",429,21
"C14437",0,23,"F",502503.42,"",8,"<25",488,16
"C14438",0,24,"F",84842.82,"SELF-EMP",12,"<25",923,21
"C14439",0,23,"F",120070.68,"SELF-EMP",11,"<25",691,15
"C1444",0,33,"M",258463.45,"SAL",10,"31-35",194,6
"C14440",0,24,"F",297068.76,"",10,"<25",281,7
"C14441",0,21,"F",18572.81,"",11,"<25",566,31
"C14442",0,21,"F",189015.52,"SELF-EMP",13,"<25",401,21
"C14443",0,23,"F",482942.76,"",0,"<25",665,17
"C14444",0,24,"F",541231.69,"",16,"<25",759,3
"C14445",0,23,"F",112791.76,"SELF-EMP",11,"<25",800,30
"C14446",0,23,"F",382792.03,"",13,"<25",122,18
"C14447",0,22,"F",344110.1,"PROF",14,"<25",407,24
"C14448",0,22,"F",339718.38,"",15,"<25",374,22
"C14449",0,21,"F",191063.24,"",18,"<25",547,16
"C1445",0,48,"M",60186.14,"PROF",31,"46-50",507,20
"C14450",0,28,"F",29023.92,"SELF-EMP",10,"26-30",333,19
"C14451",0,28,"F",322102.84,"",0,"26-30",862,14
"C14452",0,24,"F",530312.2,"PROF",20,"<25",962,20
"C14453",0,28,"F",401123.3,"",12,"26-30",118,22
"C14454",0,25,"F",425239.49,"",7,"<25",403,12
"C14455",0,33,"F",388439.7,"",0,"31-35",845,19
"C14456",0,22,"F",250073.63,"SELF-EMP",5,"<25",174,13
"C14457",0,21,"F",31817.8,"",2,"<25",119,12
"C14458",0,21,"F",37949.36,"",11,"<25",709,18
"C14459",0,24,"F",251542.75,"PROF",18,"<25",240,1
"C1446",0,45,"M",97355.2,"SAL",49,"41-45",120,11
"C14460",0,22,"F",57718.26,"PROF",13,"<25",825,4
"C14461",0,24,"F",74819.44,"",5,"<25",626,12
"C14462",0,23,"F",130633.14,"",16,"<25",519,2
"C14463",0,21,"F",118797.74,"",4,"<25",466,26
"C14464",0,24,"F",515131.48,"SELF-EMP",17,"<25",104,1
"C14465",0,22,"F",72072.74,"",14,"<25",655,22
"C14466",0,21,"F",200942.4,"SELF-EMP",17,"<25",712,14
"C14467",0,22,"F",107640.46,"",15,"<25",304,14
"C14468",0,23,"F",149469.89,"",14,"<25",931,15
"C14469",0,44,"F",59199.94,"PROF",7,"41-45",773,15
"C1447",0,44,"M",47702.35,"SELF-EMP",33,"41-45",496,17
"C14470",0,30,"F",402435.83,"",13,"26-30",120,22
"C14471",0,28,"F",441851.09,"",12,"26-30",425,2
"C14472",0,49,"F",76105.08,"",0,"46-50",126,26
"C14473",0,43,"F",211737.35,"",17,"41-45",697,5
"C14474",0,34,"F",599909.43,"",19,"31-35",966,21
"C14475",0,31,"F",339510.75,"",12,"31-35",152,5
"C14476",0,51,"F",297254.19,"",19,">50",674,0
"C14477",0,36,"F",356488.59,"SAL",20,"36-40",262,23
"C14478",0,23,"F",67612.33,"",20,"<25",629,4
"C14479",0,23,"F",24426.77,"SAL",8,"<25",907,14
"C1448",0,28,"M",306601.7,"SELF-EMP",43,"26-30",117,16
"C14480",0,52,"F",368137.1,"",4,">50",508,0
"C14481",0,29,"F",81397.97,"",8,"26-30",644,6
"C14482",0,29,"F",38727.15,"",2,"26-30",907,17
"C14483",0,36,"F",165628.41,"",14,"36-40",545,11
"C14484",0,25,"F",225471.7,"",17,"<25",414,25
"C14485",0,25,"F",37434.25,"",15,"<25",555,12
"C14486",0,40,"F",284187.58,"",3,"36-40",679,8
"C14487",0,55,"F",54609.07,"",14,">50",781,3
"C14488",0,51,"F",39059.78,"",9,">50",181,11
"C14489",0,47,"F",98783.56,"PROF",16,"46-50",600,18
"C1449",0,51,"M",170510.49,"SAL",39,">50",496,31
"C14490",0,55,"F",19626.36,"",13,">50",735,29
"C14491",0,55,"F",464598.17,"",19,">50",318,5
"C14492",0,21,"F",527124.31,"PROF",12,"<25",636,5
"C14493",0,41,"F",212597.47,"",19,"41-45",680,18
"C14494",0,44,"F",505121.41,"",6,"41-45",676,31
"C14495",0,44,"F",6840.15,"",10,"41-45",504,25
"C14496",0,28,"F",401229.23,"SELF-EMP",15,"26-30",928,0
"C14497",0,22,"F",294432.95,"",8,"<25",912,11
"C14498",0,36,"F",505003.25,"",10,"36-40",762,11
"C14499",0,36,"F",49698.19,"",7,"36-40",747,16
"C145",0,53,"F",14826.07,"SAL",31,">50",297,10
"C1450",0,38,"M",217963.7,"SAL",2,"36-40",361,2
"C14500",0,41,"F",17710.93,"",2,"41-45",850,5
"C14501",0,50,"F",93739.6,"PROF",20,"46-50",685,21
"C14502",0,49,"F",150361.45,"",9,"46-50",200,9
"C14503",0,29,"F",493139.01,"",6,"26-30",370,22
"C14504",0,32,"F",529308.41,"PROF",0,"31-35",684,6
"C14505",0,51,"F",259727.55,"",4,">50",222,4
"C14506",0,54,"F",191703.47,"",16,">50",576,11
"C14507",0,24,"F",388500.96,"PROF",17,"<25",741,24
"C14508",0,55,"F",301741.56,"PROF",0,">50",465,27
"C14509",0,27,"F",58900.56,"",9,"26-30",174,14
"C1451",0,55,"M",167811.42,"SELF-EMP",39,">50",530,16
"C14510",0,52,"F",7011.29,"",10,">50",259,18
"C14511",0,35,"F",550786.08,"",16,"31-35",742,25
"C14512",0,30,"F",118590.32,"",5,"26-30",446,28
"C14513",0,21,"F",298361.82,"",19,"<25",335,10
"C14514",0,51,"F",563.75,"",7,">50",845,20
"C14515",0,41,"F",490549.89,"PROF",1,"41-45",185,6
"C14516",0,39,"F",118659.21,"PROF",1,"36-40",856,29
"C14517",0,31,"F",35630.22,"PROF",14,"31-35",431,19
"C14518",0,46,"F",42605.91,"SELF-EMP",4,"46-50",597,8
"C14519",0,33,"F",245467.51,"",16,"31-35",124,3
"C1452",0,36,"M",106062.96,"SAL",8,"36-40",880,28
"C14520",0,55,"F",4550.68,"",5,">50",109,12
"C14521",0,29,"F",83793.58,"",12,"26-30",279,13
"C14522",0,40,"F",30057.39,"PROF",4,"36-40",141,31
"C14523",0,36,"F",275102.62,"SELF-EMP",11,"36-40",265,23
"C14524",0,31,"F",679732,"PROF",12,"31-35",163,14
"C14525",0,53,"F",26515.84,"",16,">50",778,0
"C14526",0,45,"F",25188.87,"",5,"41-45",429,6
"C14527",0,36,"F",222588.88,"",2,"36-40",372,25
"C14528",0,32,"F",336393.67,"",8,"31-35",778,24
"C14529",0,30,"F",378997.45,"PROF",16,"26-30",251,21
